OBJECTID,plotname,Shape_Length,Shape_Area,Longdd,Latdd
76,FWS 51_6_4_na,58984.625601556370000,11671219.350293741000000,-80.920304298836527,49.833330158337453
77,FWS 51_6_5_na,58983.527364047470000,11671001.123241464000000,-81.321349143610846,49.833330158574121
78,FWS 51_6_6_na,58984.904031317266000,11671276.088897020000000,-81.722394958262541,49.833330158468861
79,FWS 51_6_7_na,58981.883929262556000,11670671.112057002000000,-82.123435047921703,49.833330158188382
80,FWS 51_6_8_na,58984.903738653287000,11671275.039485902000000,-82.524475126640411,49.833330158251250
81,FWS 51_6_9_na,58981.883530336912000,11670672.388366820000000,-82.925515203366047,49.833330158300278
82,FWS 51_6_10_na,58984.628771843207000,11671221.140337810000000,-83.326554311561750,49.833330158290117
83,FWS 51_6_11_na,58983.530285694767000,11671002.201338103000000,-83.727599170164694,49.833330158096082
84,FWS 51_6_12_na,58984.900415196811000,11671272.268593110000000,-84.128644976487109,49.833330157292401
85,FWS 51_6_13_na,58981.880181351335000,11670671.959225902000000,-84.529685031574445,49.833330158438791
